UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;51;75;62;75;70;56;68;66;68;47;48;52;738
12 Acre;46;53;63;69;59;49;44;35;35;57;44;35;589
13 Amazonas;356;324;328;389;381;270;330;303;293;327;326;310;3937
14 Roraima;25;28;30;32;31;22;20;25;32;29;17;32;323
15 Pará;395;465;464;464;550;462;511;455;489;481;424;363;5523
16 Amapá;30;28;27;32;25;30;36;41;31;29;26;14;349
17 Tocantins;16;12;14;23;28;20;24;15;25;24;17;13;231
21 Maranhão;216;230;233;221;268;216;248;223;237;217;199;159;2667
22 Piauí;70;78;56;86;73;59;77;72;58;79;86;74;868
23 Ceará;356;401;322;389;384;375;411;404;385;399;353;362;4541
24 Rio Grande do Norte;120;120;95;133;124;131;116;122;125;97;98;137;1418
25 Paraíba;122;135;96;158;136;111;126;131;120;110;114;99;1458
26 Pernambuco;517;517;427;530;535;473;516;539;526;565;508;498;6151
27 Alagoas;113;117;101;135;113;84;104;100;86;119;99;113;1284
28 Sergipe;101;84;70;97;99;79;84;101;74;80;73;79;1021
29 Bahia;522;451;437;524;456;414;513;453;478;546;442;414;5650
31 Minas Gerais;349;349;355;370;374;354;328;394;385;412;363;317;4350
32 Espírito Santo;137;107;107;117;146;132;116;144;117;121;136;126;1506
33 Rio de Janeiro;1377;1231;1180;1161;1348;1221;1364;1228;1271;1314;1167;1105;14967
35 São Paulo;1965;1745;1835;1845;1842;1603;1926;1883;1958;2022;1683;1718;22025
41 Paraná;229;201;213;271;203;201;214;248;204;243;234;207;2668
42 Santa Catarina;227;181;190;193;164;154;210;204;183;186;202;161;2255
43 Rio Grande do Sul;668;545;537;610;631;546;637;714;652;735;643;612;7530
50 Mato Grosso do Sul;121;97;111;129;125;123;135;121;96;137;115;105;1415
51 Mato Grosso;135;126;127;105;142;125;159;130;126;138;110;108;1531
52 Goiás;126;85;104;116;106;73;102;101;92;109;83;79;1176
53 Distrito Federal;40;27;34;39;39;37;44;46;51;42;43;41;483
00 Ignorado/exterior;-;1;-;-;-;-;-;-;-;-;-;-;1
Total;8430;7813;7618;8313;8452;7420;8463;8298;8197;8665;7653;7333;96655
