UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;8;2;5;3;1;1;3;4;1;1;4;5;38
12 Acre;7;1;9;8;5;6;10;10;8;13;4;7;88
13 Amazonas;23;22;17;14;5;12;18;26;14;23;13;15;202
14 Roraima;6;4;3;3;2;2;2;4;3;4;3;2;38
15 Pará;52;58;62;37;36;41;52;49;59;48;47;37;578
16 Amapá;-;2;1;1;1;-;3;1;-;-;-;-;9
17 Tocantins;6;3;1;6;4;4;7;4;2;3;5;1;46
21 Maranhão;11;5;7;10;3;5;6;12;10;7;7;5;88
22 Piauí;9;8;9;8;7;10;3;7;9;7;8;9;94
23 Ceará;87;74;81;57;56;52;75;67;83;86;76;77;871
24 Rio Grande do Norte;25;24;35;21;24;26;36;45;27;31;30;29;353
25 Paraíba;15;25;28;16;12;17;13;11;19;29;13;23;221
26 Pernambuco;55;52;57;44;36;46;47;39;49;50;41;48;564
27 Alagoas;16;12;23;7;7;8;16;12;13;17;19;14;164
28 Sergipe;11;10;8;8;8;7;7;10;8;11;10;4;102
29 Bahia;73;75;84;61;49;70;54;61;66;55;77;60;785
31 Minas Gerais;24;23;28;20;12;20;18;15;19;18;13;19;229
32 Espírito Santo;2;4;5;2;4;4;2;1;5;7;5;2;43
33 Rio de Janeiro;7;7;10;4;7;6;6;6;9;5;7;3;77
35 São Paulo;99;69;88;59;46;56;67;71;102;72;82;65;876
41 Paraná;5;12;9;6;9;7;5;9;4;10;9;4;89
42 Santa Catarina;2;2;1;1;3;-;4;-;-;4;1;-;18
43 Rio Grande do Sul;8;4;3;6;4;1;5;7;7;6;5;4;60
50 Mato Grosso do Sul;8;6;18;10;4;4;6;3;8;7;5;4;83
51 Mato Grosso;7;10;15;14;4;3;4;4;6;8;8;7;90
52 Goiás;6;5;4;2;8;5;4;5;8;5;3;3;58
53 Distrito Federal;-;1;-;-;-;-;-;-;-;-;-;-;1
Total;572;520;611;428;357;413;473;483;539;527;495;447;5865
