UF de notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
11 Rondônia;8;2;5;2;1;1;3;4;1;1;4;4;36
12 Acre;5;1;9;6;2;4;3;8;6;12;1;4;61
13 Amazonas;15;19;13;14;4;10;15;19;10;18;9;11;157
14 Roraima;4;1;1;2;2;1;-;-;-;1;2;-;14
15 Pará;43;55;58;33;34;36;46;42;53;45;44;33;522
16 Amapá;-;-;1;1;1;-;1;-;-;-;-;-;4
17 Tocantins;5;3;1;5;2;3;7;4;2;2;4;1;39
21 Maranhão;9;4;6;10;3;5;4;8;7;4;7;5;72
22 Piauí;7;6;7;6;6;7;3;7;9;6;6;9;79
23 Ceará;76;62;78;46;54;47;68;61;76;73;67;66;774
24 Rio Grande do Norte;16;22;29;19;20;24;29;37;21;24;23;26;290
25 Paraíba;10;19;22;13;12;12;9;6;11;20;9;17;160
26 Pernambuco;45;46;46;39;29;39;42;35;35;42;35;39;472
27 Alagoas;12;10;20;6;7;6;14;10;12;8;17;12;134
28 Sergipe;7;6;8;3;7;5;6;7;6;9;8;4;76
29 Bahia;64;72;78;56;48;67;49;56;62;49;73;54;728
31 Minas Gerais;20;16;25;19;10;16;16;14;15;16;12;12;191
32 Espírito Santo;1;4;3;2;2;3;2;-;2;6;5;2;32
33 Rio de Janeiro;7;4;8;4;6;6;4;4;8;5;6;2;64
35 São Paulo;87;57;71;54;40;52;55;56;84;60;65;59;740
41 Paraná;5;10;9;4;6;7;3;6;3;10;8;4;75
42 Santa Catarina;-;2;1;1;3;-;4;-;-;4;1;-;16
43 Rio Grande do Sul;5;2;3;5;4;1;4;7;6;6;4;4;51
50 Mato Grosso do Sul;8;6;16;10;2;4;6;3;7;5;5;4;76
51 Mato Grosso;5;10;13;11;3;3;4;4;4;7;7;6;77
52 Goiás;4;5;3;2;7;5;3;4;6;5;3;3;50
Total;468;444;534;373;315;364;400;402;446;438;425;381;4990
